Subject,Story,Level,Context,Prediction,T_val
1,cake,1,Non-Social,10.0,10.0
1,cake,2,Non-Social,25.0,20.0
1,cake,3,Non-Social,40.0,35.0
1,cake,4,Non-Social,60.0,50.0
1,cake,5,Non-Social,80.0,70.0
2,cake,1,Non-Social,20.0,10.0
2,cake,2,Non-Social,20.0,20.0
2,cake,3,Non-Social,50.0,35.0
2,cake,4,Non-Social,50.0,50.0
2,cake,5,Non-Social,80.0,70.0
3,cake,1,Non-Social,40.0,10.0
3,cake,2,Non-Social,40.0,20.0
3,cake,3,Non-Social,40.0,35.0
3,cake,4,Non-Social,60.0,50.0
3,cake,5,Non-Social,90.0,70.0
4,cake,1,Non-Social,20.0,10.0
4,cake,2,Non-Social,20.0,20.0
4,cake,3,Non-Social,40.0,35.0
4,cake,4,Non-Social,50.0,50.0
4,cake,5,Non-Social,70.0,70.0
5,cake,1,Non-Social,30.0,10.0
5,cake,2,Non-Social,30.0,20.0
5,cake,3,Non-Social,35.0,35.0
5,cake,4,Non-Social,51.0,50.0
5,cake,5,Non-Social,80.0,70.0
6,cake,1,Non-Social,40.0,10.0
6,cake,2,Non-Social,40.0,20.0
6,cake,3,Non-Social,40.0,35.0
6,cake,4,Non-Social,60.0,50.0
6,cake,5,Non-Social,100.0,70.0
7,cake,1,Non-Social,10.0,10.0
7,cake,2,Non-Social,20.0,20.0
7,cake,3,Non-Social,35.0,35.0
7,cake,4,Non-Social,50.0,50.0
7,cake,5,Non-Social,120.0,70.0
8,cake,1,Non-Social,25.0,10.0
8,cake,2,Non-Social,21.0,20.0
8,cake,3,Non-Social,35.0,35.0
8,cake,4,Non-Social,50.0,50.0
8,cake,5,Non-Social,70.0,70.0
9,cake,1,Non-Social,30.0,10.0
9,cake,2,Non-Social,30.0,20.0
9,cake,3,Non-Social,40.0,35.0
9,cake,4,Non-Social,90.0,50.0
9,cake,5,Non-Social,80.0,70.0
10,cake,1,Non-Social,30.0,10.0
10,cake,2,Non-Social,30.0,20.0
10,cake,3,Non-Social,45.0,35.0
10,cake,4,Non-Social,60.0,50.0
10,cake,5,Non-Social,120.0,70.0
11,cake,1,Non-Social,20.0,10.0
11,cake,2,Non-Social,30.0,20.0
11,cake,3,Non-Social,40.0,35.0
11,cake,4,Non-Social,50.0,50.0
11,cake,5,Non-Social,70.0,70.0
12,cake,1,Non-Social,25.0,10.0
12,cake,2,Non-Social,25.0,20.0
12,cake,3,Non-Social,35.0,35.0
12,cake,4,Non-Social,50.0,50.0
12,cake,5,Non-Social,70.0,70.0
13,cake,1,Non-Social,10.0,10.0
13,cake,2,Non-Social,20.0,20.0
13,cake,3,Non-Social,40.0,35.0
13,cake,4,Non-Social,60.0,50.0
13,cake,5,Non-Social,80.0,70.0
14,cake,1,Non-Social,45.0,10.0
14,cake,2,Non-Social,35.0,20.0
14,cake,3,Non-Social,50.0,35.0
14,cake,4,Non-Social,80.0,50.0
14,cake,5,Non-Social,90.0,70.0
15,cake,1,Non-Social,30.0,10.0
15,cake,2,Non-Social,40.0,20.0
15,cake,3,Non-Social,60.0,35.0
15,cake,4,Non-Social,70.0,50.0
15,cake,5,Non-Social,100.0,70.0
16,cake,1,Non-Social,30.0,10.0
16,cake,2,Non-Social,30.0,20.0
16,cake,3,Non-Social,40.0,35.0
16,cake,4,Non-Social,60.0,50.0
16,cake,5,Non-Social,90.0,70.0
17,cake,1,Non-Social,50.0,10.0
17,cake,2,Non-Social,50.0,20.0
17,cake,3,Non-Social,50.0,35.0
17,cake,4,Non-Social,50.0,50.0
17,cake,5,Non-Social,80.0,70.0
18,cake,1,Non-Social,45.0,10.0
18,cake,2,Non-Social,40.0,20.0
18,cake,3,Non-Social,40.0,35.0
18,cake,4,Non-Social,60.0,50.0
18,cake,5,Non-Social,120.0,70.0
19,cake,1,Non-Social,45.0,10.0
19,cake,2,Non-Social,45.0,20.0
19,cake,3,Non-Social,45.0,35.0
19,cake,4,Non-Social,60.0,50.0
19,cake,5,Non-Social,75.0,70.0
20,cake,1,Non-Social,20.0,10.0
20,cake,2,Non-Social,30.0,20.0
20,cake,3,Non-Social,60.0,35.0
20,cake,4,Non-Social,60.0,50.0
20,cake,5,Non-Social,120.0,70.0
21,cake,1,Non-Social,30.0,10.0
21,cake,2,Non-Social,40.0,20.0
21,cake,3,Non-Social,55.0,35.0
21,cake,4,Non-Social,70.0,50.0
21,cake,5,Non-Social,90.0,70.0
22,cake,1,Non-Social,15.0,10.0
22,cake,2,Non-Social,25.0,20.0
22,cake,3,Non-Social,40.0,35.0
22,cake,4,Non-Social,60.0,50.0
22,cake,5,Non-Social,90.0,70.0
23,cake,1,Non-Social,60.0,10.0
23,cake,2,Non-Social,60.0,20.0
23,cake,3,Non-Social,60.0,35.0
23,cake,4,Non-Social,60.0,50.0
23,cake,5,Non-Social,90.0,70.0
24,cake,1,Non-Social,20.0,10.0
24,cake,2,Non-Social,25.0,20.0
24,cake,3,Non-Social,40.0,35.0
24,cake,4,Non-Social,55.0,50.0
24,cake,5,Non-Social,75.0,70.0
25,cake,1,Non-Social,40.0,10.0
25,cake,2,Non-Social,40.0,20.0
25,cake,3,Non-Social,40.0,35.0
25,cake,4,Non-Social,60.0,50.0
25,cake,5,Non-Social,80.0,70.0
26,cake,1,Non-Social,45.0,10.0
26,cake,2,Non-Social,45.0,20.0
26,cake,3,Non-Social,45.0,35.0
26,cake,4,Non-Social,50.0,50.0
26,cake,5,Non-Social,70.0,70.0
27,cake,1,Non-Social,25.0,10.0
27,cake,2,Non-Social,25.0,20.0
27,cake,3,Non-Social,35.0,35.0
27,cake,4,Non-Social,50.0,50.0
27,cake,5,Non-Social,70.0,70.0
28,cake,1,Non-Social,40.0,10.0
28,cake,2,Non-Social,40.0,20.0
28,cake,3,Non-Social,45.0,35.0
28,cake,4,Non-Social,60.0,50.0
28,cake,5,Non-Social,80.0,70.0
29,cake,1,Non-Social,15.0,10.0
29,cake,2,Non-Social,25.0,20.0
29,cake,3,Non-Social,40.0,35.0
29,cake,4,Non-Social,50.0,50.0
29,cake,5,Non-Social,72.0,70.0
30,cake,1,Non-Social,30.0,10.0
30,cake,2,Non-Social,30.0,20.0
30,cake,3,Non-Social,40.0,35.0
30,cake,4,Non-Social,60.0,50.0
30,cake,5,Non-Social,80.0,70.0
31,cake,1,Non-Social,40.0,10.0
31,cake,2,Non-Social,20.0,20.0
31,cake,3,Non-Social,45.0,35.0
31,cake,4,Non-Social,50.0,50.0
31,cake,5,Non-Social,75.0,70.0
32,cake,1,Non-Social,20.0,10.0
32,cake,2,Non-Social,25.0,20.0
32,cake,3,Non-Social,40.0,35.0
32,cake,4,Non-Social,60.0,50.0
32,cake,5,Non-Social,90.0,70.0
33,cake,1,Non-Social,15.0,10.0
33,cake,2,Non-Social,25.0,20.0
33,cake,3,Non-Social,35.0,35.0
33,cake,4,Non-Social,50.0,50.0
33,cake,5,Non-Social,70.0,70.0
34,cake,1,Non-Social,40.0,10.0
34,cake,2,Non-Social,40.0,20.0
34,cake,3,Non-Social,40.0,35.0
34,cake,4,Non-Social,60.0,50.0
34,cake,5,Non-Social,75.0,70.0
35,cake,1,Non-Social,20.0,10.0
35,cake,2,Non-Social,30.0,20.0
35,cake,3,Non-Social,40.0,35.0
35,cake,4,Non-Social,60.0,50.0
35,cake,5,Non-Social,80.0,70.0
36,cake,1,Non-Social,10.0,10.0
36,cake,2,Non-Social,20.0,20.0
36,cake,3,Non-Social,35.0,35.0
36,cake,4,Non-Social,50.0,50.0
36,cake,5,Non-Social,70.0,70.0
37,cake,1,Non-Social,30.0,10.0
37,cake,2,Non-Social,30.0,20.0
37,cake,3,Non-Social,45.0,35.0
37,cake,4,Non-Social,60.0,50.0
37,cake,5,Non-Social,100.0,70.0
38,cake,1,Non-Social,25.0,10.0
38,cake,2,Non-Social,25.0,20.0
38,cake,3,Non-Social,45.0,35.0
38,cake,4,Non-Social,60.0,50.0
38,cake,5,Non-Social,90.0,70.0
39,cake,1,Non-Social,10.0,10.0
39,cake,2,Non-Social,30.0,20.0
39,cake,3,Non-Social,45.0,35.0
39,cake,4,Non-Social,60.0,50.0
39,cake,5,Non-Social,80.0,70.0
40,cake,1,Non-Social,40.0,10.0
40,cake,2,Non-Social,40.0,20.0
40,cake,3,Non-Social,40.0,35.0
40,cake,4,Non-Social,60.0,50.0
